epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,11339,0.59528,2.60697,0.18252,0.36397,1.05711,0,0.00013,0,0,0,0,0,0,0.52754,1.92676,0.03868,inf,0.96057,0.00133695,0.00133695,0.00133695
79,11499.9,0.59307,2.58779,0.18067,0.36014,1.04989,0,0.00013,0,0,0,0,0,0,0.52696,1.92338,0.0386,inf,0.96016,0.00123596,0.00123596,0.00123596
80,11658,0.58765,2.56409,0.1797,0.35635,1.05391,0,0.00013,0,0,0,0,0,0,0.52663,1.92047,0.03855,inf,0.95995,0.00113873,0.00113873,0.00113873
81,11818.8,0.58406,2.53086,0.17896,0.35672,1.04814,0,0.00013,0,0,0,0,0,0,0.52618,1.91658,0.03853,inf,0.95956,0.00104537,0.00104537,0.00104537
82,11984.8,0.59164,2.54966,0.17817,0.36307,1.05095,0,0.00013,0,0,0,0,0,0,0.52582,1.9124,0.03854,inf,0.95931,0.000955951,0.000955951,0.000955951
83,12143.9,0.58233,2.52109,0.17857,0.35777,1.04904,0,0.00013,0,0,0,0,0,0,0.52545,1.90942,0.03856,inf,0.95908,0.000870577,0.000870577,0.000870577
84,12303,0.58673,2.52845,0.17726,0.35714,1.04952,0,0.00013,0,0,0,0,0,0,0.52496,1.90653,0.03846,inf,0.95862,0.000789327,0.000789327,0.000789327
85,12462.9,0.58119,2.49052,0.17868,0.35316,1.04695,0,0.00013,0,0,0,0,0,0,0.52482,1.90366,0.03845,inf,0.95846,0.000712282,0.000712282,0.000712282
86,12627.2,0.58421,2.50067,0.17673,0.35522,1.04991,0,0.00013,0,0,0,0,0,0,0.52447,1.90073,0.03848,inf,0.9582,0.000639518,0.000639518,0.000639518
87,12790.7,0.58175,2.50506,0.17681,0.35352,1.04673,0,0.00013,0,0,0,0,0,0,0.52408,1.89798,0.03842,inf,0.95804,0.000571106,0.000571106,0.000571106
88,12948.8,0.57425,2.4743,0.17684,0.34935,1.04275,0,0.00013,0,0,0,0,0,0,0.52365,1.89491,0.03842,inf,0.95773,0.000507115,0.000507115,0.000507115
89,13113.5,0.57845,2.48951,0.17837,0.35111,1.04804,0,0.00013,0,0,0,0,0,0,0.52329,1.89253,0.03837,inf,0.95743,0.000447606,0.000447606,0.000447606
90,13276.9,0.57874,2.44901,0.17568,0.3532,1.0477,0,0.00013,0,0,0,0,0,0,0.52298,1.89005,0.03839,inf,0.95725,0.00039264,0.00039264,0.00039264
91,13457.6,0.4795,1.89474,0.06913,0.26205,0.99446,0,0.00013,0,0,0,0,0,0,0.52253,1.8871,0.03812,inf,0.95698,0.00034227,0.00034227,0.00034227
92,13615.4,0.47367,1.84741,0.0642,0.25735,0.98818,0,0.00013,0,0,0,0,0,0,0.52185,1.8835,0.03769,inf,0.9565,0.000296546,0.000296546,0.000296546
93,13770.7,0.46996,1.8424,0.06255,0.25413,0.9858,0,0.00013,0,0,0,0,0,0,0.52132,1.8799,0.03715,inf,0.95603,0.000255513,0.000255513,0.000255513
94,13935.8,0.46535,1.82274,0.0618,0.25349,0.98422,0,0.00013,0,0,0,0,0,0,0.52075,1.8764,0.03665,inf,0.95559,0.000219212,0.000219212,0.000219212
95,14093.6,0.46645,1.8258,0.06129,0.25371,0.98571,0,0.00013,0,0,0,0,0,0,0.5202,1.87273,0.03617,inf,0.95507,0.000187678,0.000187678,0.000187678
96,14258.5,0.4682,1.82775,0.06149,0.25215,0.98503,0,0.00013,0,0,0,0,0,0,0.51971,1.86887,0.03566,inf,0.95475,0.000160943,0.000160943,0.000160943
97,14425.2,0.46338,1.80353,0.06014,0.24981,0.98216,0,0.00013,0,0,0,0,0,0,0.51914,1.86531,0.03525,inf,0.95428,0.000139032,0.000139032,0.000139032
98,14587.9,0.46321,1.80596,0.06089,0.25117,0.9832,0,0.00013,0,0,0,0,0,0,0.51855,1.86184,0.03474,inf,0.95386,0.000121968,0.000121968,0.000121968
99,14747.2,0.46077,1.80319,0.06109,0.25095,0.9807,0,0.00013,0,0,0,0,0,0,0.51804,1.85825,0.03433,inf,0.95338,0.000109768,0.000109768,0.000109768
100,14910.9,0.46108,1.79061,0.05981,0.24935,0.98119,0,0.00013,0,0,0,0,0,0,0.51758,1.85488,0.03391,inf,0.95309,0.000102443,0.000102443,0.000102443
